ID;Gender;Ever_Married;Graduated;Profession;Spending_Score;Age_Category;Family_Size_Cat
459290;F;Yes;Yes;Doctor;Average;Over 53;2 people
459292;M;No;Yes;Artist;Low;Between 41 and 53;2 people
459293;M;No;No;Healthcare;Low;Under 30;2 people
459296;M;Yes;Yes;Artist;Average;Over 53;2 people
459300;F;Yes;Yes;Artist;Low;Over 53;2 people
459307;M;Yes;Yes;Entertainment;Low;Over 53;1 person
459310;M;No;Yes;Entertainment;Low;Between 30 and 41;2 people
459316;M;Yes;Yes;Healthcare;Low;Under 30;2 people
459318;F;No;Yes;Engineer;Low;Between 30 and 41;3 or 4 people
459320;M;Yes;Yes;Executive;Low;Under 30;3 or 4 people
459322;M;No;Yes;Marketing;Low;Between 41 and 53;1 person
459323;F;No;No;Doctor;Low;Under 30;2 people
459338;M;Yes;No;Executive;Low;Over 53;2 people
459339;M;Yes;Yes;Healthcare;High;Under 30;2 people
459344;F;Yes;Yes;Artist;High;Over 53;2 people
459347;M;Yes;Yes;Lawyer;Low;Over 53;1 person
459349;F;Yes;Yes;Artist;High;Between 41 and 53;3 or 4 people
459352;M;Yes;Yes;Doctor;Average;Between 41 and 53;3 or 4 people
459353;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459354;F;Yes;Yes;Artist;High;Between 41 and 53;3 or 4 people
459355;F;Yes;No;Homemaker;Low;Over 53;1 person
459360;F;No;Yes;Healthcare;Low;Under 30;3 or 4 people
459361;F;No;Yes;Engineer;Low;Between 30 and 41;2 people
459362;M;Yes;No;Executive;Low;Over 53;2 people
459363;M;No;Yes;Artist;Low;Between 41 and 53;1 person
459364;F;Yes;Yes;Marketing;Low;Over 53;2 people
459369;M;Yes;No;Engineer;Average;Between 30 and 41;5 or more people
459375;M;Yes;No;Executive;High;Under 30;3 or 4 people
459377;M;Yes;Yes;Artist;Average;Between 30 and 41;3 or 4 people
459383;M;Yes;No;Engineer;Low;Between 41 and 53;1 person
459384;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459385;F;Yes;Yes;Artist;Average;Between 30 and 41;2 people
459386;M;Yes;No;Lawyer;High;Over 53;2 people
459391;F;No;Yes;Engineer;Low;Between 30 and 41;3 or 4 people
459394;M;No;No;Entertainment;Low;Under 30;2 people
459397;M;Yes;Yes;Artist;Average;Over 53;2 people
459398;F;Yes;No;Lawyer;High;Over 53;2 people
459401;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459403;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459405;F;Yes;No;Doctor;High;Over 53;2 people
459407;F;No;Yes;Doctor;Low;Between 30 and 41;3 or 4 people
459409;F;Yes;Yes;Lawyer;High;Over 53;2 people
459410;F;Yes;Yes;Lawyer;High;Over 53;2 people
459412;M;Yes;Yes;;Average;Over 53;3 or 4 people
459413;F;Yes;Yes;Artist;High;Over 53;2 people
459415;M;No;No;Doctor;Low;Under 30;3 or 4 people
459418;M;Yes;No;Executive;High;Over 53;2 people
459419;M;Yes;Yes;Doctor;Average;Over 53;2 people
459420;F;Yes;Yes;Lawyer;Low;Over 53;2 people
459421;M;Yes;No;Healthcare;Average;Between 30 and 41;3 or 4 people
459422;M;Yes;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
459423;M;No;No;Healthcare;Low;Under 30;5 or more people
459424;M;Yes;Yes;Doctor;Low;Between 41 and 53;3 or 4 people
459428;F;No;No;Marketing;Low;Between 30 and 41;2 people
459432;M;Yes;Yes;Lawyer;Low;Over 53;3 or 4 people
459436;F;No;Yes;Artist;Low;Over 53;2 people
459439;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459445;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459447;M;Yes;Yes;Artist;Low;Over 53;1 person
459449;M;Yes;Yes;Artist;Low;Between 30 and 41;2 people
459451;F;Yes;Yes;Artist;Low;Between 41 and 53;2 people
459456;F;No;No;Lawyer;Low;Over 53;1 person
459458;M;No;No;Marketing;Low;Between 30 and 41;2 people
459459;M;Yes;Yes;Artist;Low;Between 30 and 41;1 person
459461;F;Yes;Yes;Artist;Low;Between 30 and 41;1 person
459464;M;No;Yes;Artist;Low;Under 30;2 people
459466;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459467;F;Yes;Yes;Artist;Average;Over 53;2 people
459469;M;Yes;Yes;Healthcare;Low;Under 30;5 or more people
459471;F;No;No;Artist;Low;Under 30;5 or more people
459480;F;Yes;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
459481;M;Yes;No;Lawyer;Low;Between 41 and 53;2 people
459482;M;Yes;No;Marketing;Low;Over 53;3 or 4 people
459485;F;Yes;Yes;Lawyer;High;Over 53;2 people
459496;F;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
459497;F;Yes;Yes;Lawyer;Low;Over 53;1 person
459499;F;Yes;No;Lawyer;High;Over 53;2 people
459503;M;Yes;Yes;Healthcare;High;Between 41 and 53;3 or 4 people
459505;F;No;Yes;Engineer;Low;Between 41 and 53;1 person
459507;M;Yes;No;Lawyer;High;Over 53;2 people
459509;M;No;Yes;Healthcare;Low;Under 30;1 person
459512;M;Yes;Yes;Lawyer;High;Over 53;2 people
459515;M;Yes;Yes;Engineer;Low;Over 53;1 person
459516;F;;Yes;Artist;Average;Over 53;2 people
459518;M;Yes;;;Average;Over 53;3 or 4 people
459535;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459536;M;Yes;Yes;Healthcare;Low;Between 30 and 41;2 people
459538;F;No;Yes;Homemaker;Low;Between 41 and 53;1 person
459541;M;Yes;Yes;Artist;High;Over 53;2 people
459549;M;No;No;Healthcare;Low;Under 30;5 or more people
459555;F;No;Yes;Artist;Low;Under 30;1 person
459558;M;No;Yes;Entertainment;Low;Under 30;3 or 4 people
459564;M;Yes;Yes;Lawyer;Low;Over 53;1 person
459566;F;Yes;Yes;Artist;Low;Between 30 and 41;2 people
459567;M;Yes;Yes;Doctor;Average;Between 41 and 53;2 people
459571;F;Yes;Yes;Executive;High;Between 41 and 53;3 or 4 people
459576;F;Yes;No;Lawyer;Low;Over 53;2 people
459579;F;Yes;Yes;Artist;Average;Between 30 and 41;5 or more people
459581;F;No;No;;Low;Between 30 and 41;2 people
459582;M;Yes;No;Entertainment;Average;Between 30 and 41;3 or 4 people
459583;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
459585;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459587;F;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
459588;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
459591;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459592;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459594;F;Yes;Yes;Artist;Low;Between 30 and 41;1 person
459597;F;Yes;Yes;Artist;High;Over 53;2 people
459603;F;Yes;No;Lawyer;High;Over 53;2 people
459607;M;Yes;Yes;Entertainment;Average;Between 30 and 41;5 or more people
459608;F;No;Yes;Doctor;Low;Over 53;1 person
459612;M;No;No;Healthcare;Low;Under 30;2 people
459616;F;No;No;Healthcare;Low;Under 30;3 or 4 people
459617;M;No;Yes;Entertainment;Low;Under 30;5 or more people
459618;M;Yes;Yes;Doctor;Average;Over 53;2 people
459621;F;No;No;Healthcare;Low;Under 30;2 people
459625;F;Yes;No;Engineer;Low;Over 53;1 person
459626;F;Yes;No;Entertainment;Low;Under 30;3 or 4 people
459632;F;Yes;No;Marketing;High;Between 41 and 53;3 or 4 people
459644;F;No;No;Marketing;Low;Under 30;3 or 4 people
459652;F;No;No;Engineer;Low;Under 30;3 or 4 people
459658;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
459664;M;No;Yes;Artist;Low;Between 41 and 53;1 person
459665;M;Yes;Yes;Artist;Low;Over 53;2 people
459672;M;Yes;No;Artist;Average;Between 41 and 53;3 or 4 people
459673;F;Yes;Yes;Lawyer;Low;Over 53;1 person
459678;M;No;No;Healthcare;Low;Under 30;5 or more people
459680;M;No;Yes;Entertainment;Low;Between 30 and 41;1 person
459686;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
459691;M;Yes;No;Artist;Average;Over 53;2 people
459692;F;Yes;Yes;Lawyer;High;Over 53;2 people
459693;F;Yes;Yes;Artist;High;Between 41 and 53;3 or 4 people
459699;F;;Yes;Engineer;Average;Over 53;3 or 4 people
459701;M;No;No;Artist;Low;Between 41 and 53;3 or 4 people
459710;M;Yes;Yes;Artist;Low;Over 53;1 person
459711;M;Yes;No;Executive;High;Between 41 and 53;5 or more people
459712;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459713;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459715;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459718;M;Yes;Yes;Executive;Low;Over 53;1 person
459725;F;Yes;Yes;Artist;Low;Between 30 and 41;2 people
459727;M;Yes;No;Lawyer;High;Over 53;2 people
459740;F;No;No;Healthcare;Low;Under 30;3 or 4 people
459742;F;Yes;No;Lawyer;High;Over 53;2 people
459745;M;Yes;No;Artist;Low;Between 41 and 53;3 or 4 people
459746;M;;Yes;Artist;Average;Over 53;2 people
459747;F;Yes;Yes;Artist;Average;Between 30 and 41;5 or more people
459748;M;Yes;No;Executive;High;Between 41 and 53;2 people
459755;F;Yes;No;Artist;Average;Over 53;3 or 4 people
459756;F;Yes;No;Lawyer;High;Over 53;3 or 4 people
459760;F;Yes;Yes;Artist;Low;Between 30 and 41;1 person
459763;M;No;No;Artist;Low;Under 30;3 or 4 people
459767;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459771;F;;Yes;Doctor;Low;Under 30;3 or 4 people
459779;F;Yes;Yes;Entertainment;Low;Over 53;1 person
459780;F;No;No;Entertainment;Low;Between 41 and 53;3 or 4 people
459785;F;No;Yes;Engineer;Low;Between 30 and 41;1 person
459793;M;Yes;Yes;Artist;High;Between 30 and 41;2 people
459795;M;No;Yes;Artist;Low;Between 41 and 53;1 person
459801;F;No;Yes;Engineer;Low;Between 30 and 41;2 people
459804;M;Yes;No;Artist;High;Between 41 and 53;3 or 4 people
459806;F;Yes;No;Engineer;Average;Between 41 and 53;3 or 4 people
459808;M;Yes;No;Doctor;Average;Between 41 and 53;3 or 4 people
459815;M;No;Yes;Artist;Low;Between 41 and 53;1 person
459816;M;Yes;Yes;Doctor;Low;Between 30 and 41;2 people
459819;M;Yes;Yes;Entertainment;High;Over 53;2 people
459821;M;;No;Executive;High;Over 53;1 person
459822;F;No;Yes;Engineer;Low;Between 30 and 41;1 person
459825;M;No;No;Healthcare;Low;Under 30;5 or more people
459827;F;No;No;;Low;Under 30;1 person
459832;M;Yes;Yes;Executive;Low;Over 53;1 person
459845;M;Yes;Yes;Healthcare;Low;Over 53;1 person
459851;M;No;Yes;Artist;Low;Between 41 and 53;1 person
459853;M;No;No;Executive;Low;Between 30 and 41;5 or more people
459856;M;Yes;No;Entertainment;Average;Between 41 and 53;3 or 4 people
459857;M;No;Yes;Entertainment;Low;Between 30 and 41;1 person
459861;F;Yes;No;Lawyer;High;Over 53;2 people
459864;F;Yes;No;Artist;High;Over 53;2 people
459866;F;No;Yes;Artist;Low;Between 41 and 53;1 person
459867;M;Yes;Yes;Marketing;High;Between 41 and 53;2 people
459869;F;No;No;Healthcare;Low;Under 30;3 or 4 people
459871;F;Yes;No;Entertainment;Average;Over 53;2 people
459885;F;No;Yes;Entertainment;Low;Between 30 and 41;3 or 4 people
459886;M;Yes;No;Artist;Low;Under 30;3 or 4 people
459887;M;Yes;No;Artist;Average;Between 41 and 53;2 people
459889;M;Yes;Yes;Homemaker;Average;Over 53;3 or 4 people
459897;F;Yes;Yes;Artist;Low;Over 53;2 people
459909;M;Yes;Yes;Artist;Low;Over 53;1 person
459910;M;Yes;Yes;Artist;Low;Over 53;2 people
459911;M;No;No;Healthcare;Low;Under 30;5 or more people
459914;M;No;Yes;Artist;Low;Between 30 and 41;1 person
459923;M;No;Yes;Marketing;Low;Between 30 and 41;2 people
459925;M;Yes;No;Executive;High;Over 53;2 people
459937;F;No;Yes;Artist;Low;Between 30 and 41;1 person
459943;M;No;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
459945;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
459946;F;Yes;Yes;Artist;Average;Between 30 and 41;2 people
459949;F;No;Yes;Artist;Low;Over 53;1 person
459953;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
459961;M;Yes;Yes;Artist;Low;Between 41 and 53;3 or 4 people
459962;M;Yes;Yes;Artist;Low;Over 53;1 person
459966;F;No;Yes;Doctor;Low;Between 30 and 41;3 or 4 people
459968;M;No;Yes;Artist;Low;Between 30 and 41;1 person
459970;M;No;Yes;Artist;Low;Between 41 and 53;2 people
459973;F;No;Yes;Artist;Low;Over 53;2 people
459974;M;No;Yes;Entertainment;Low;Between 30 and 41;1 person
459975;F;No;Yes;Artist;Low;Between 30 and 41;1 person
459981;M;No;Yes;Artist;Low;Between 30 and 41;1 person
459986;M;Yes;Yes;Artist;Low;Over 53;1 person
459995;F;No;No;Artist;Low;Between 30 and 41;2 people
459996;M;No;Yes;Entertainment;Low;Over 53;1 person
459998;M;Yes;No;Entertainment;Average;Over 53;2 people
460004;F;Yes;Yes;Entertainment;Average;Between 30 and 41;2 people
460006;M;No;No;Entertainment;Low;Under 30;5 or more people
460014;F;No;No;Entertainment;Low;Over 53;3 or 4 people
460023;M;Yes;Yes;Entertainment;Low;Between 41 and 53;1 person
460027;F;No;Yes;Entertainment;Low;Between 30 and 41;2 people
460033;F;;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
460036;M;Yes;Yes;;Low;Between 30 and 41;1 person
460040;F;Yes;Yes;Homemaker;Low;Over 53;1 person
460045;M;Yes;Yes;Artist;Low;Over 53;2 people
460046;F;Yes;Yes;Artist;Low;Between 41 and 53;2 people
460050;M;Yes;Yes;Entertainment;Low;Over 53;2 people
460051;M;No;Yes;Artist;Low;Between 30 and 41;1 person
460052;F;No;Yes;Lawyer;Low;Over 53;1 person
460058;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
460059;F;No;No;Entertainment;Low;Between 41 and 53;2 people
460061;M;No;Yes;Marketing;Low;Between 41 and 53;1 person
460066;F;No;No;Marketing;Low;Between 41 and 53;1 person
460068;F;No;Yes;Artist;Low;Between 30 and 41;1 person
460073;F;Yes;Yes;Engineer;Low;Between 30 and 41;1 person
460075;F;No;Yes;Artist;Low;Under 30;1 person
460079;F;No;No;Doctor;Low;Between 30 and 41;1 person
460081;M;Yes;Yes;Artist;High;Between 30 and 41;2 people
460088;F;Yes;Yes;Homemaker;High;Under 30;2 people
460090;M;Yes;No;Lawyer;Average;Over 53;2 people
460093;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460095;F;Yes;Yes;Lawyer;Low;Over 53;1 person
460097;M;;Yes;Artist;Low;Between 30 and 41;2 people
460099;M;No;Yes;;Low;Between 41 and 53;1 person
460101;F;No;Yes;Healthcare;Low;Under 30;3 or 4 people
460103;M;No;Yes;Artist;Low;Under 30;1 person
460105;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460106;F;Yes;Yes;Entertainment;Low;Over 53;2 people
460107;M;Yes;Yes;Engineer;Average;Between 41 and 53;5 or more people
460108;M;Yes;Yes;Artist;Average;Between 30 and 41;3 or 4 people
460109;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
460110;F;No;Yes;Artist;Low;Between 41 and 53;2 people
460112;M;Yes;Yes;Engineer;Average;Under 30;2 people
460116;F;Yes;Yes;;Low;Between 41 and 53;2 people
460118;F;Yes;Yes;Artist;Low;Between 30 and 41;2 people
460119;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
460122;F;No;No;Artist;Low;Between 30 and 41;1 person
460124;F;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
460126;F;Yes;Yes;Marketing;Low;Between 41 and 53;2 people
460134;M;Yes;Yes;Entertainment;High;Between 30 and 41;3 or 4 people
460135;F;No;Yes;Healthcare;Low;Under 30;3 or 4 people
460140;F;Yes;Yes;Artist;Low;Between 30 and 41;2 people
460141;M;No;Yes;Artist;Low;Between 30 and 41;1 person
460144;F;No;Yes;Doctor;Low;Over 53;2 people
460146;F;Yes;Yes;Engineer;Average;Between 41 and 53;3 or 4 people
460147;M;Yes;Yes;Entertainment;Average;Over 53;3 or 4 people
460157;M;Yes;No;;Low;Over 53;5 or more people
460160;M;No;Yes;Entertainment;Low;Between 30 and 41;1 person
460162;F;No;No;Healthcare;Low;Under 30;3 or 4 people
460166;F;No;No;Healthcare;Low;Under 30;5 or more people
460167;F;No;No;Entertainment;Low;Under 30;5 or more people
460168;M;Yes;Yes;Executive;High;Over 53;2 people
460171;F;Yes;Yes;Artist;High;Over 53;2 people
460174;F;No;Yes;Artist;Low;Between 41 and 53;3 or 4 people
460175;F;No;No;Artist;Low;Under 30;5 or more people
460177;M;No;Yes;Artist;Low;Between 41 and 53;1 person
460179;F;No;No;Entertainment;Low;Under 30;5 or more people
460183;M;No;No;Entertainment;Low;Between 30 and 41;2 people
460185;M;No;No;Healthcare;Low;Between 30 and 41;3 or 4 people
460187;F;No;Yes;Doctor;Low;Between 41 and 53;3 or 4 people
460189;M;No;No;Entertainment;Low;Between 30 and 41;1 person
460190;F;No;Yes;Entertainment;Low;Under 30;3 or 4 people
460192;M;Yes;Yes;;Low;Between 30 and 41;2 people
460196;F;No;Yes;Healthcare;Low;Between 30 and 41;2 people
460206;F;Yes;Yes;Entertainment;Low;Between 30 and 41;2 people
460211;M;Yes;;Artist;Low;Under 30;1 person
460212;M;Yes;Yes;Entertainment;Low;Between 30 and 41;5 or more people
460214;F;Yes;Yes;Engineer;Average;Between 41 and 53;2 people
460222;F;;Yes;Lawyer;High;Over 53;2 people
460223;M;No;No;Entertainment;Low;Between 41 and 53;1 person
460227;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460242;M;Yes;Yes;Healthcare;Low;Between 30 and 41;3 or 4 people
460243;F;No;Yes;Entertainment;Low;Between 41 and 53;1 person
460247;F;No;No;Doctor;Low;Under 30;2 people
460248;F;No;Yes;Healthcare;Low;Under 30;2 people
460252;M;Yes;Yes;Artist;Low;Between 30 and 41;2 people
460263;M;Yes;Yes;Artist;Low;Between 30 and 41;2 people
460265;M;Yes;Yes;Executive;High;Between 41 and 53;3 or 4 people
460270;M;No;Yes;Doctor;Low;Between 30 and 41;1 person
460272;F;No;Yes;Lawyer;Low;Over 53;1 person
460275;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460276;F;Yes;Yes;Artist;Low;Between 30 and 41;2 people
460281;F;No;Yes;Doctor;Low;Under 30;5 or more people
460283;M;Yes;Yes;Doctor;Low;Between 41 and 53;2 people
460284;F;No;Yes;Entertainment;Low;Under 30;2 people
460287;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
460289;F;Yes;Yes;Artist;Average;Over 53;5 or more people
460298;F;No;Yes;Lawyer;Low;Between 41 and 53;1 person
460303;F;No;Yes;Artist;Low;Between 30 and 41;1 person
460305;F;;Yes;Entertainment;High;Between 41 and 53;1 person
460306;F;No;Yes;Healthcare;Low;Between 41 and 53;1 person
460310;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460315;F;No;No;Doctor;Low;Between 30 and 41;5 or more people
460319;F;Yes;No;Doctor;Average;Between 30 and 41;2 people
460322;F;Yes;No;Engineer;Low;Between 41 and 53;2 people
460323;F;No;Yes;Engineer;Low;Between 30 and 41;1 person
460324;F;No;Yes;Entertainment;Low;Under 30;2 people
460327;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460333;F;No;No;Entertainment;Low;Between 41 and 53;3 or 4 people
460336;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460340;F;No;Yes;Artist;Low;Between 41 and 53;2 people
460341;F;No;No;Entertainment;Low;Between 30 and 41;5 or more people
460344;F;Yes;Yes;Artist;Average;Over 53;2 people
460346;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
460348;F;No;Yes;Artist;Low;Between 30 and 41;2 people
460349;M;;Yes;Artist;Average;Between 41 and 53;2 people
460354;F;No;Yes;Artist;Low;Between 30 and 41;1 person
460356;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460358;M;No;No;Marketing;Low;Under 30;1 person
460361;F;Yes;Yes;Artist;Low;Between 41 and 53;1 person
460362;M;Yes;Yes;Healthcare;Low;Over 53;3 or 4 people
460365;F;Yes;Yes;Doctor;Low;Over 53;2 people
460369;F;Yes;Yes;Artist;Low;Between 41 and 53;2 people
460370;F;Yes;Yes;Executive;High;Under 30;2 people
460371;F;No;Yes;Artist;Low;Under 30;2 people
460378;F;No;Yes;Doctor;Low;Between 30 and 41;1 person
460379;M;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
460380;M;No;Yes;Entertainment;Low;Under 30;3 or 4 people
460381;M;No;Yes;Artist;Low;Under 30;2 people
460384;F;Yes;Yes;Marketing;Low;Under 30;2 people
460387;F;No;No;Entertainment;Low;Between 41 and 53;2 people
460388;F;No;Yes;Artist;Low;Between 41 and 53;2 people
460389;F;Yes;Yes;Healthcare;Average;Between 30 and 41;2 people
460390;M;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
460392;M;Yes;No;Entertainment;Low;Between 41 and 53;1 person
460394;F;No;Yes;Healthcare;Low;Between 30 and 41;3 or 4 people
460397;F;No;Yes;Entertainment;Low;Over 53;1 person
460399;M;No;Yes;Marketing;Low;Under 30;1 person
460401;F;No;Yes;Artist;Low;Under 30;3 or 4 people
460404;M;Yes;Yes;Artist;Low;Between 41 and 53;5 or more people
460405;F;No;Yes;Entertainment;Low;Between 30 and 41;2 people
