ID,Gender,Ever_Married,Age,Graduated,Profession,Spending_Score,Age_Category,Family_Size_Cat
459266,M,No,32,Yes,Healthcare,Low,Between 30 and 41,5 or more people
459270,M,Yes,69,Yes,Homemaker,High,Over 53,2 people
459284,F,Yes,71,Yes,Lawyer,High,Over 53,2 people
459287,M,No,43,Yes,Lawyer,Low,Between 41 and 53,1 person
459288,M,Yes,37,Yes,Artist,Low,Between 30 and 41,2 people
459289,M,No,42,Yes,Doctor,Low,Between 41 and 53,1 person
459290,F,Yes,70,Yes,Doctor,Average,Over 53,2 people
459292,M,No,46,Yes,Artist,Low,Between 41 and 53,2 people
459293,M,No,21,No,Healthcare,Low,Under 30,2 people
459296,M,Yes,70,Yes,Artist,Average,Over 53,2 people
459300,F,Yes,61,Yes,Artist,Low,Over 53,2 people
459307,M,Yes,60,Yes,Entertainment,Low,Over 53,1 person
459310,M,No,37,Yes,Entertainment,Low,Between 30 and 41,2 people
459316,M,Yes,30,Yes,Healthcare,Low,Under 30,2 people
459318,F,No,32,Yes,Engineer,Low,Between 30 and 41,3 or 4 people
459320,M,Yes,26,Yes,Executive,Low,Under 30,3 or 4 people
459322,M,No,42,Yes,Marketing,Low,Between 41 and 53,1 person
459323,F,No,18,No,Doctor,Low,Under 30,2 people
459338,M,Yes,80,No,Executive,Low,Over 53,2 people
459339,M,Yes,29,Yes,Healthcare,High,Under 30,2 people
459344,F,Yes,88,Yes,Artist,High,Over 53,2 people
459347,M,Yes,70,Yes,Lawyer,Low,Over 53,1 person
459349,F,Yes,50,Yes,Artist,High,Between 41 and 53,3 or 4 people
459352,M,Yes,43,Yes,Doctor,Average,Between 41 and 53,3 or 4 people
459353,M,Yes,51,Yes,Artist,Average,Between 41 and 53,2 people
459354,F,Yes,50,Yes,Artist,High,Between 41 and 53,3 or 4 people
459355,F,Yes,74,No,Homemaker,Low,Over 53,1 person
459360,F,No,29,Yes,Healthcare,Low,Under 30,3 or 4 people
459361,F,No,32,Yes,Engineer,Low,Between 30 and 41,2 people
459362,M,Yes,60,No,Executive,Low,Over 53,2 people
459363,M,No,46,Yes,Artist,Low,Between 41 and 53,1 person
459364,F,Yes,81,Yes,Marketing,Low,Over 53,2 people
459369,M,Yes,41,No,Engineer,Average,Between 30 and 41,5 or more people
459375,M,Yes,22,No,Executive,High,Under 30,3 or 4 people
459377,M,Yes,37,Yes,Artist,Average,Between 30 and 41,3 or 4 people
459383,M,Yes,43,No,Engineer,Low,Between 41 and 53,1 person
459384,M,Yes,50,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459385,F,Yes,35,Yes,Artist,Average,Between 30 and 41,2 people
459386,M,Yes,65,No,Lawyer,High,Over 53,2 people
459391,F,No,41,Yes,Engineer,Low,Between 30 and 41,3 or 4 people
459394,M,No,28,No,Entertainment,Low,Under 30,2 people
459397,M,Yes,55,Yes,Artist,Average,Over 53,2 people
459398,F,Yes,58,No,Lawyer,High,Over 53,2 people
459401,M,No,28,No,Healthcare,Low,Under 30,3 or 4 people
459403,M,Yes,48,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459405,F,Yes,78,No,Doctor,High,Over 53,2 people
459407,F,No,35,Yes,Doctor,Low,Between 30 and 41,3 or 4 people
459409,F,Yes,76,Yes,Lawyer,High,Over 53,2 people
459410,F,Yes,88,Yes,Lawyer,High,Over 53,2 people
459412,M,Yes,61,Yes,,Average,Over 53,3 or 4 people
459413,F,Yes,79,Yes,Artist,High,Over 53,2 people
459415,M,No,30,No,Doctor,Low,Under 30,3 or 4 people
459418,M,Yes,69,No,Executive,High,Over 53,2 people
459419,M,Yes,65,Yes,Doctor,Average,Over 53,2 people
459420,F,Yes,70,Yes,Lawyer,Low,Over 53,2 people
459421,M,Yes,32,No,Healthcare,Average,Between 30 and 41,3 or 4 people
459422,M,Yes,46,Yes,Entertainment,Low,Between 41 and 53,3 or 4 people
459423,M,No,21,No,Healthcare,Low,Under 30,5 or more people
459424,M,Yes,47,Yes,Doctor,Low,Between 41 and 53,3 or 4 people
459428,F,No,39,No,Marketing,Low,Between 30 and 41,2 people
459432,M,Yes,85,Yes,Lawyer,Low,Over 53,3 or 4 people
459436,F,No,66,Yes,Artist,Low,Over 53,2 people
459439,F,Yes,50,Yes,Artist,Average,Between 41 and 53,2 people
459445,F,Yes,42,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459447,M,Yes,53,Yes,Artist,Low,Over 53,1 person
459449,M,Yes,37,Yes,Artist,Low,Between 30 and 41,2 people
459451,F,Yes,45,Yes,Artist,Low,Between 41 and 53,2 people
459456,F,No,66,No,Lawyer,Low,Over 53,1 person
459458,M,No,33,No,Marketing,Low,Between 30 and 41,2 people
459459,M,Yes,40,Yes,Artist,Low,Between 30 and 41,1 person
459461,F,Yes,35,Yes,Artist,Low,Between 30 and 41,1 person
459464,M,No,27,Yes,Artist,Low,Under 30,2 people
459466,F,Yes,48,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459467,F,Yes,56,Yes,Artist,Average,Over 53,2 people
459469,M,Yes,25,Yes,Healthcare,Low,Under 30,5 or more people
459471,F,No,30,No,Artist,Low,Under 30,5 or more people
459480,F,Yes,46,Yes,Entertainment,Low,Between 41 and 53,3 or 4 people
459481,M,Yes,49,No,Lawyer,Low,Between 41 and 53,2 people
459482,M,Yes,72,No,Marketing,Low,Over 53,3 or 4 people
459485,F,Yes,79,Yes,Lawyer,High,Over 53,2 people
459496,F,No,35,Yes,Artist,Low,Between 30 and 41,3 or 4 people
459497,F,Yes,77,Yes,Lawyer,Low,Over 53,1 person
459499,F,Yes,79,No,Lawyer,High,Over 53,2 people
459503,M,Yes,42,Yes,Healthcare,High,Between 41 and 53,3 or 4 people
459505,F,No,42,Yes,Engineer,Low,Between 41 and 53,1 person
459507,M,Yes,67,No,Lawyer,High,Over 53,2 people
459509,M,No,26,Yes,Healthcare,Low,Under 30,1 person
459512,M,Yes,67,Yes,Lawyer,High,Over 53,2 people
459515,M,Yes,55,Yes,Engineer,Low,Over 53,1 person
459516,F,,56,Yes,Artist,Average,Over 53,2 people
459518,M,Yes,63,,,Average,Over 53,3 or 4 people
459535,M,Yes,46,Yes,Artist,Average,Between 41 and 53,2 people
459536,M,Yes,32,Yes,Healthcare,Low,Between 30 and 41,2 people
459538,F,No,49,Yes,Homemaker,Low,Between 41 and 53,1 person
459541,M,Yes,59,Yes,Artist,High,Over 53,2 people
459549,M,No,22,No,Healthcare,Low,Under 30,5 or more people
459555,F,No,28,Yes,Artist,Low,Under 30,1 person
459558,M,No,28,Yes,Entertainment,Low,Under 30,3 or 4 people
459564,M,Yes,75,Yes,Lawyer,Low,Over 53,1 person
459566,F,Yes,37,Yes,Artist,Low,Between 30 and 41,2 people
459567,M,Yes,50,Yes,Doctor,Average,Between 41 and 53,2 people
459571,F,Yes,50,Yes,Executive,High,Between 41 and 53,3 or 4 people
459576,F,Yes,88,No,Lawyer,Low,Over 53,2 people
459579,F,Yes,35,Yes,Artist,Average,Between 30 and 41,5 or more people
459581,F,No,35,No,,Low,Between 30 and 41,2 people
459582,M,Yes,31,No,Entertainment,Average,Between 30 and 41,3 or 4 people
459583,M,Yes,46,Yes,Artist,Low,Between 41 and 53,1 person
459585,F,Yes,50,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459587,F,No,33,Yes,Artist,Low,Between 30 and 41,3 or 4 people
459588,M,Yes,49,Yes,Artist,Low,Between 41 and 53,1 person
459591,M,Yes,52,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459592,M,No,25,No,Healthcare,Low,Under 30,3 or 4 people
459594,F,Yes,41,Yes,Artist,Low,Between 30 and 41,1 person
459597,F,Yes,68,Yes,Artist,High,Over 53,2 people
459603,F,Yes,79,No,Lawyer,High,Over 53,2 people
459607,M,Yes,40,Yes,Entertainment,Average,Between 30 and 41,5 or more people
459608,F,No,62,Yes,Doctor,Low,Over 53,1 person
459612,M,No,21,No,Healthcare,Low,Under 30,2 people
459616,F,No,20,No,Healthcare,Low,Under 30,3 or 4 people
459617,M,No,28,Yes,Entertainment,Low,Under 30,5 or more people
459618,M,Yes,57,Yes,Doctor,Average,Over 53,2 people
459621,F,No,25,No,Healthcare,Low,Under 30,2 people
459625,F,Yes,63,No,Engineer,Low,Over 53,1 person
459626,F,Yes,26,No,Entertainment,Low,Under 30,3 or 4 people
459632,F,Yes,50,No,Marketing,High,Between 41 and 53,3 or 4 people
459644,F,No,30,No,Marketing,Low,Under 30,3 or 4 people
459652,F,No,26,No,Engineer,Low,Under 30,3 or 4 people
459658,M,Yes,61,Yes,Artist,Average,Over 53,3 or 4 people
459664,M,No,42,Yes,Artist,Low,Between 41 and 53,1 person
459665,M,Yes,88,Yes,Artist,Low,Over 53,2 people
459672,M,Yes,45,No,Artist,Average,Between 41 and 53,3 or 4 people
459673,F,Yes,86,Yes,Lawyer,Low,Over 53,1 person
459678,M,No,18,No,Healthcare,Low,Under 30,5 or more people
459680,M,No,37,Yes,Entertainment,Low,Between 30 and 41,1 person
459686,M,Yes,46,Yes,Artist,Low,Between 41 and 53,1 person
459691,M,Yes,58,No,Artist,Average,Over 53,2 people
459692,F,Yes,72,Yes,Lawyer,High,Over 53,2 people
459693,F,Yes,50,Yes,Artist,High,Between 41 and 53,3 or 4 people
459699,F,,56,Yes,Engineer,Average,Over 53,3 or 4 people
459701,M,No,46,No,Artist,Low,Between 41 and 53,3 or 4 people
459710,M,Yes,57,Yes,Artist,Low,Over 53,1 person
459711,M,Yes,42,No,Executive,High,Between 41 and 53,5 or more people
459712,M,No,20,No,Healthcare,Low,Under 30,3 or 4 people
459713,M,No,19,No,Healthcare,Low,Under 30,3 or 4 people
459715,M,No,19,No,Healthcare,Low,Under 30,3 or 4 people
459718,M,Yes,68,Yes,Executive,Low,Over 53,1 person
459725,F,Yes,40,Yes,Artist,Low,Between 30 and 41,2 people
459727,M,Yes,82,No,Lawyer,High,Over 53,2 people
459740,F,No,23,No,Healthcare,Low,Under 30,3 or 4 people
459742,F,Yes,84,No,Lawyer,High,Over 53,2 people
459745,M,Yes,51,No,Artist,Low,Between 41 and 53,3 or 4 people
459746,M,,59,Yes,Artist,Average,Over 53,2 people
459747,F,Yes,41,Yes,Artist,Average,Between 30 and 41,5 or more people
459748,M,Yes,51,No,Executive,High,Between 41 and 53,2 people
459755,F,Yes,62,No,Artist,Average,Over 53,3 or 4 people
459756,F,Yes,62,No,Lawyer,High,Over 53,3 or 4 people
459760,F,Yes,38,Yes,Artist,Low,Between 30 and 41,1 person
459763,M,No,18,No,Artist,Low,Under 30,3 or 4 people
459767,M,No,22,No,Healthcare,Low,Under 30,3 or 4 people
459771,F,,30,Yes,Doctor,Low,Under 30,3 or 4 people
459779,F,Yes,62,Yes,Entertainment,Low,Over 53,1 person
459780,F,No,43,No,Entertainment,Low,Between 41 and 53,3 or 4 people
459785,F,No,32,Yes,Engineer,Low,Between 30 and 41,1 person
459793,M,Yes,37,Yes,Artist,High,Between 30 and 41,2 people
459795,M,No,48,Yes,Artist,Low,Between 41 and 53,1 person
459801,F,No,31,Yes,Engineer,Low,Between 30 and 41,2 people
459804,M,Yes,46,No,Artist,High,Between 41 and 53,3 or 4 people
459806,F,Yes,49,No,Engineer,Average,Between 41 and 53,3 or 4 people
459808,M,Yes,43,No,Doctor,Average,Between 41 and 53,3 or 4 people
459815,M,No,42,Yes,Artist,Low,Between 41 and 53,1 person
459816,M,Yes,37,Yes,Doctor,Low,Between 30 and 41,2 people
459819,M,Yes,72,Yes,Entertainment,High,Over 53,2 people
459821,M,,71,No,Executive,High,Over 53,1 person
459822,F,No,39,Yes,Engineer,Low,Between 30 and 41,1 person
459825,M,No,20,No,Healthcare,Low,Under 30,5 or more people
459827,F,No,26,No,,Low,Under 30,1 person
459832,M,Yes,72,Yes,Executive,Low,Over 53,1 person
459845,M,Yes,70,Yes,Healthcare,Low,Over 53,1 person
459851,M,No,45,Yes,Artist,Low,Between 41 and 53,1 person
459853,M,No,33,No,Executive,Low,Between 30 and 41,5 or more people
459856,M,Yes,50,No,Entertainment,Average,Between 41 and 53,3 or 4 people
459857,M,No,31,Yes,Entertainment,Low,Between 30 and 41,1 person
459861,F,Yes,74,No,Lawyer,High,Over 53,2 people
459864,F,Yes,68,No,Artist,High,Over 53,2 people
459866,F,No,49,Yes,Artist,Low,Between 41 and 53,1 person
459867,M,Yes,49,Yes,Marketing,High,Between 41 and 53,2 people
459869,F,No,18,No,Healthcare,Low,Under 30,3 or 4 people
459871,F,Yes,85,No,Entertainment,Average,Over 53,2 people
459885,F,No,38,Yes,Entertainment,Low,Between 30 and 41,3 or 4 people
459886,M,Yes,28,No,Artist,Low,Under 30,3 or 4 people
459887,M,Yes,46,No,Artist,Average,Between 41 and 53,2 people
459889,M,Yes,59,Yes,Homemaker,Average,Over 53,3 or 4 people
459897,F,Yes,56,Yes,Artist,Low,Over 53,2 people
459909,M,Yes,69,Yes,Artist,Low,Over 53,1 person
459910,M,Yes,66,Yes,Artist,Low,Over 53,2 people
459911,M,No,18,No,Healthcare,Low,Under 30,5 or more people
459914,M,No,36,Yes,Artist,Low,Between 30 and 41,1 person
459923,M,No,31,Yes,Marketing,Low,Between 30 and 41,2 people
459925,M,Yes,67,No,Executive,High,Over 53,2 people
459937,F,No,39,Yes,Artist,Low,Between 30 and 41,1 person
459943,M,No,42,Yes,Entertainment,Low,Between 41 and 53,3 or 4 people
459945,M,Yes,50,Yes,Artist,Low,Between 41 and 53,2 people
459946,F,Yes,37,Yes,Artist,Average,Between 30 and 41,2 people
459949,F,No,59,Yes,Artist,Low,Over 53,1 person
459953,M,Yes,50,Yes,Artist,Low,Between 41 and 53,2 people
459961,M,Yes,48,Yes,Artist,Low,Between 41 and 53,3 or 4 people
459962,M,Yes,55,Yes,Artist,Low,Over 53,1 person
459966,F,No,33,Yes,Doctor,Low,Between 30 and 41,3 or 4 people
459968,M,No,38,Yes,Artist,Low,Between 30 and 41,1 person
459970,M,No,43,Yes,Artist,Low,Between 41 and 53,2 people
459973,F,No,53,Yes,Artist,Low,Over 53,2 people
459974,M,No,37,Yes,Entertainment,Low,Between 30 and 41,1 person
459975,F,No,36,Yes,Artist,Low,Between 30 and 41,1 person
459981,M,No,36,Yes,Artist,Low,Between 30 and 41,1 person
459986,M,Yes,62,Yes,Artist,Low,Over 53,1 person
459995,F,No,38,No,Artist,Low,Between 30 and 41,2 people
459996,M,No,55,Yes,Entertainment,Low,Over 53,1 person
459998,M,Yes,60,No,Entertainment,Average,Over 53,2 people
460004,F,Yes,36,Yes,Entertainment,Average,Between 30 and 41,2 people
460006,M,No,30,No,Entertainment,Low,Under 30,5 or more people
460014,F,No,66,No,Entertainment,Low,Over 53,3 or 4 people
460023,M,Yes,45,Yes,Entertainment,Low,Between 41 and 53,1 person
460027,F,No,40,Yes,Entertainment,Low,Between 30 and 41,2 people
460033,F,,45,Yes,Entertainment,Low,Between 41 and 53,3 or 4 people
460036,M,Yes,41,Yes,,Low,Between 30 and 41,1 person
460040,F,Yes,62,Yes,Homemaker,Low,Over 53,1 person
460045,M,Yes,61,Yes,Artist,Low,Over 53,2 people
460046,F,Yes,50,Yes,Artist,Low,Between 41 and 53,2 people
460050,M,Yes,53,Yes,Entertainment,Low,Over 53,2 people
460051,M,No,39,Yes,Artist,Low,Between 30 and 41,1 person
460052,F,No,86,Yes,Lawyer,Low,Over 53,1 person
460058,M,Yes,50,Yes,Artist,Low,Between 41 and 53,1 person
460059,F,No,46,No,Entertainment,Low,Between 41 and 53,2 people
460061,M,No,52,Yes,Marketing,Low,Between 41 and 53,1 person
460066,F,No,45,No,Marketing,Low,Between 41 and 53,1 person
460068,F,No,37,Yes,Artist,Low,Between 30 and 41,1 person
460073,F,Yes,36,Yes,Engineer,Low,Between 30 and 41,1 person
460075,F,No,25,Yes,Artist,Low,Under 30,1 person
460079,F,No,40,No,Doctor,Low,Between 30 and 41,1 person
460081,M,Yes,41,Yes,Artist,High,Between 30 and 41,2 people
460088,F,Yes,25,Yes,Homemaker,High,Under 30,2 people
460090,M,Yes,80,No,Lawyer,Average,Over 53,2 people
460093,F,No,46,Yes,Artist,Low,Between 41 and 53,1 person
460095,F,Yes,81,Yes,Lawyer,Low,Over 53,1 person
460097,M,,40,Yes,Artist,Low,Between 30 and 41,2 people
460099,M,No,49,Yes,,Low,Between 41 and 53,1 person
460101,F,No,26,Yes,Healthcare,Low,Under 30,3 or 4 people
460103,M,No,26,Yes,Artist,Low,Under 30,1 person
460105,F,No,47,Yes,Artist,Low,Between 41 and 53,1 person
460106,F,Yes,71,Yes,Entertainment,Low,Over 53,2 people
460107,M,Yes,48,Yes,Engineer,Average,Between 41 and 53,5 or more people
460108,M,Yes,39,Yes,Artist,Average,Between 30 and 41,3 or 4 people
460109,M,Yes,50,Yes,Artist,Average,Between 41 and 53,2 people
460110,F,No,46,Yes,Artist,Low,Between 41 and 53,2 people
460112,M,Yes,26,Yes,Engineer,Average,Under 30,2 people
460116,F,Yes,42,Yes,,Low,Between 41 and 53,2 people
460118,F,Yes,36,Yes,Artist,Low,Between 30 and 41,2 people
460119,M,No,29,Yes,Healthcare,Low,Under 30,3 or 4 people
460122,F,No,39,No,Artist,Low,Between 30 and 41,1 person
460124,F,No,41,Yes,Artist,Low,Between 30 and 41,3 or 4 people
460126,F,Yes,48,Yes,Marketing,Low,Between 41 and 53,2 people
460134,M,Yes,40,Yes,Entertainment,High,Between 30 and 41,3 or 4 people
460135,F,No,25,Yes,Healthcare,Low,Under 30,3 or 4 people
460140,F,Yes,41,Yes,Artist,Low,Between 30 and 41,2 people
460141,M,No,37,Yes,Artist,Low,Between 30 and 41,1 person
460144,F,No,53,Yes,Doctor,Low,Over 53,2 people
460146,F,Yes,51,Yes,Engineer,Average,Between 41 and 53,3 or 4 people
460147,M,Yes,73,Yes,Entertainment,Average,Over 53,3 or 4 people
460157,M,Yes,61,No,,Low,Over 53,5 or more people
460160,M,No,39,Yes,Entertainment,Low,Between 30 and 41,1 person
460162,F,No,19,No,Healthcare,Low,Under 30,3 or 4 people
460166,F,No,19,No,Healthcare,Low,Under 30,5 or more people
460167,F,No,23,No,Entertainment,Low,Under 30,5 or more people
460168,M,Yes,83,Yes,Executive,High,Over 53,2 people
460171,F,Yes,62,Yes,Artist,High,Over 53,2 people
460174,F,No,43,Yes,Artist,Low,Between 41 and 53,3 or 4 people
460175,F,No,27,No,Artist,Low,Under 30,5 or more people
460177,M,No,50,Yes,Artist,Low,Between 41 and 53,1 person
460179,F,No,23,No,Entertainment,Low,Under 30,5 or more people
460183,M,No,35,No,Entertainment,Low,Between 30 and 41,2 people
460185,M,No,32,No,Healthcare,Low,Between 30 and 41,3 or 4 people
460187,F,No,42,Yes,Doctor,Low,Between 41 and 53,3 or 4 people
460189,M,No,33,No,Entertainment,Low,Between 30 and 41,1 person
460190,F,No,28,Yes,Entertainment,Low,Under 30,3 or 4 people
460192,M,Yes,35,Yes,,Low,Between 30 and 41,2 people
460196,F,No,35,Yes,Healthcare,Low,Between 30 and 41,2 people
460206,F,Yes,39,Yes,Entertainment,Low,Between 30 and 41,2 people
460211,M,Yes,28,,Artist,Low,Under 30,1 person
460212,M,Yes,35,Yes,Entertainment,Low,Between 30 and 41,5 or more people
460214,F,Yes,45,Yes,Engineer,Average,Between 41 and 53,2 people
460222,F,,73,Yes,Lawyer,High,Over 53,2 people
460223,M,No,52,No,Entertainment,Low,Between 41 and 53,1 person
460227,M,No,28,No,Healthcare,Low,Under 30,3 or 4 people
460242,M,Yes,38,Yes,Healthcare,Low,Between 30 and 41,3 or 4 people
460243,F,No,42,Yes,Entertainment,Low,Between 41 and 53,1 person
460247,F,No,26,No,Doctor,Low,Under 30,2 people
460248,F,No,27,Yes,Healthcare,Low,Under 30,2 people
460252,M,Yes,41,Yes,Artist,Low,Between 30 and 41,2 people
460263,M,Yes,41,Yes,Artist,Low,Between 30 and 41,2 people
460265,M,Yes,47,Yes,Executive,High,Between 41 and 53,3 or 4 people
460270,M,No,35,Yes,Doctor,Low,Between 30 and 41,1 person
460272,F,No,88,Yes,Lawyer,Low,Over 53,1 person
460275,F,No,46,Yes,Artist,Low,Between 41 and 53,1 person
460276,F,Yes,41,Yes,Artist,Low,Between 30 and 41,2 people
460281,F,No,30,Yes,Doctor,Low,Under 30,5 or more people
460283,M,Yes,43,Yes,Doctor,Low,Between 41 and 53,2 people
460284,F,No,29,Yes,Entertainment,Low,Under 30,2 people
460287,M,Yes,48,Yes,Artist,Low,Between 41 and 53,1 person
460289,F,Yes,61,Yes,Artist,Average,Over 53,5 or more people
460298,F,No,51,Yes,Lawyer,Low,Between 41 and 53,1 person
460303,F,No,38,Yes,Artist,Low,Between 30 and 41,1 person
460305,F,,49,Yes,Entertainment,High,Between 41 and 53,1 person
460306,F,No,43,Yes,Healthcare,Low,Between 41 and 53,1 person
460310,M,No,27,No,Healthcare,Low,Under 30,3 or 4 people
460315,F,No,35,No,Doctor,Low,Between 30 and 41,5 or more people
460319,F,Yes,39,No,Doctor,Average,Between 30 and 41,2 people
460322,F,Yes,52,No,Engineer,Low,Between 41 and 53,2 people
460323,F,No,38,Yes,Engineer,Low,Between 30 and 41,1 person
460324,F,No,30,Yes,Entertainment,Low,Under 30,2 people
460327,F,No,43,Yes,Artist,Low,Between 41 and 53,1 person
460333,F,No,42,No,Entertainment,Low,Between 41 and 53,3 or 4 people
460336,F,No,46,Yes,Artist,Low,Between 41 and 53,1 person
460340,F,No,47,Yes,Artist,Low,Between 41 and 53,2 people
460341,F,No,32,No,Entertainment,Low,Between 30 and 41,5 or more people
460344,F,Yes,53,Yes,Artist,Average,Over 53,2 people
460346,F,Yes,43,Yes,Artist,Average,Between 41 and 53,2 people
