ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size;Var_1;Work_Experience_Imputed;Family_Size_Imputed
459391;F;No;41;Yes;Engineer;0.0;Low;4.0;Cat_6;0.0;4.0
459394;M;No;28;No;Entertainment;8.0;Low;2.0;Cat_6;8.0;2.0
459397;M;Yes;55;Yes;Artist;4.0;Average;2.0;Cat_6;4.0;2.0
459398;F;Yes;58;No;Lawyer;;High;2.0;Cat_6;2.552586938083121;2.0
459401;M;No;28;No;Healthcare;1.0;Low;3.0;;1.0;3.0
459403;M;Yes;48;Yes;Artist;;Average;4.0;Cat_7;2.552586938083121;4.0
459405;F;Yes;78;No;Doctor;1.0;High;2.0;Cat_6;1.0;2.0
459407;F;No;35;Yes;Doctor;1.0;Low;3.0;Cat_6;1.0;3.0
459409;F;Yes;76;Yes;Lawyer;0.0;High;2.0;Cat_6;0.0;2.0
459410;F;Yes;88;Yes;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459412;M;Yes;61;Yes;Unknown;1.0;Average;3.0;Cat_6;1.0;3.0
459413;F;Yes;79;Yes;Artist;;High;2.0;Cat_6;2.552586938083121;2.0
459415;M;No;30;No;Doctor;0.0;Low;4.0;Cat_6;0.0;4.0
459418;M;Yes;69;No;Executive;0.0;High;2.0;Cat_6;0.0;2.0
459419;M;Yes;65;Yes;Doctor;1.0;Average;2.0;Cat_6;1.0;2.0
459420;F;Yes;70;Yes;Lawyer;1.0;Low;2.0;Cat_6;1.0;2.0
459421;M;Yes;32;No;Healthcare;0.0;Average;4.0;Cat_6;0.0;4.0
459422;M;Yes;46;Yes;Entertainment;;Low;4.0;Cat_6;2.552586938083121;4.0
459423;M;No;21;No;Healthcare;8.0;Low;5.0;Cat_6;8.0;5.0
459424;M;Yes;47;Yes;Doctor;;Low;3.0;Cat_6;2.552586938083121;3.0
459428;F;No;39;No;Marketing;0.0;Low;2.0;Cat_4;0.0;2.0
459432;M;Yes;85;Yes;Lawyer;0.0;Low;3.0;Cat_6;0.0;3.0
459436;F;No;66;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459439;F;Yes;50;Yes;Artist;1.0;Average;2.0;Cat_6;1.0;2.0
459445;F;Yes;42;Yes;Artist;0.0;Average;3.0;Cat_6;0.0;3.0
459447;M;Yes;53;Yes;Artist;9.0;Low;1.0;Cat_6;9.0;1.0
459449;M;Yes;37;Yes;Artist;;Low;2.0;Cat_6;2.552586938083121;2.0
459451;F;Yes;45;Yes;Artist;1.0;Low;2.0;Cat_6;1.0;2.0
459456;F;No;66;No;Lawyer;;Low;1.0;Cat_6;2.552586938083121;1.0
459458;M;No;33;No;Marketing;;Low;;Cat_6;2.552586938083121;2.0
459459;M;Yes;40;Yes;Artist;4.0;Low;1.0;Cat_6;4.0;1.0
459461;F;Yes;35;Yes;Artist;1.0;Low;1.0;Cat_1;1.0;1.0
459464;M;No;27;Yes;Artist;;Low;2.0;Cat_6;2.552586938083121;2.0
459466;F;Yes;48;Yes;Artist;0.0;Average;3.0;Cat_4;0.0;3.0
459467;F;Yes;56;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459469;M;Yes;25;Yes;Healthcare;;Low;6.0;Cat_6;2.552586938083121;6.0
459471;F;No;30;No;Artist;;Low;8.0;Cat_6;2.552586938083121;8.0
459480;F;Yes;46;Yes;Entertainment;7.0;Low;3.0;Cat_6;7.0;3.0
459481;M;Yes;49;No;Lawyer;0.0;Low;2.0;Cat_6;0.0;2.0
459482;M;Yes;72;No;Marketing;1.0;Low;4.0;Cat_6;1.0;4.0
459485;F;Yes;79;Yes;Lawyer;;High;2.0;Cat_6;2.552586938083121;2.0
459496;F;No;35;Yes;Artist;;Low;3.0;Cat_6;2.552586938083121;3.0
459497;F;Yes;77;Yes;Lawyer;0.0;Low;1.0;Cat_6;0.0;1.0
459499;F;Yes;79;No;Lawyer;;High;2.0;Cat_6;2.552586938083121;2.0
459503;M;Yes;42;Yes;Healthcare;6.0;High;4.0;Cat_6;6.0;4.0
459505;F;No;42;Yes;Engineer;;Low;1.0;Cat_6;2.552586938083121;1.0
459507;M;Yes;67;No;Lawyer;;High;2.0;Cat_1;2.552586938083121;2.0
459509;M;No;26;Yes;Healthcare;1.0;Low;1.0;Cat_6;1.0;1.0
459512;M;Yes;67;Yes;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459515;M;Yes;55;Yes;Engineer;1.0;Low;1.0;Cat_6;1.0;1.0
459516;F;;56;Yes;Artist;;Average;2.0;Cat_6;2.552586938083121;2.0
459518;M;Yes;63;;Unknown;;Average;4.0;Cat_6;2.552586938083121;4.0
459535;M;Yes;46;Yes;Artist;8.0;Average;2.0;Cat_6;8.0;2.0
459536;M;Yes;32;Yes;Healthcare;7.0;Low;2.0;Cat_6;7.0;2.0
459538;F;No;49;Yes;Homemaker;13.0;Low;1.0;Cat_6;13.0;1.0
459541;M;Yes;59;Yes;Artist;1.0;High;2.0;Cat_6;1.0;2.0
459549;M;No;22;No;Healthcare;8.0;Low;5.0;Cat_4;8.0;5.0
459555;F;No;28;Yes;Artist;8.0;Low;1.0;Cat_6;8.0;1.0
459558;M;No;28;Yes;Entertainment;1.0;Low;3.0;Cat_6;1.0;3.0
459564;M;Yes;75;Yes;Lawyer;2.0;Low;1.0;Cat_6;2.0;1.0
459566;F;Yes;37;Yes;Artist;13.0;Low;2.0;Cat_6;13.0;2.0
459567;M;Yes;50;Yes;Doctor;0.0;Average;2.0;Cat_6;0.0;2.0
459571;F;Yes;50;Yes;Executive;1.0;High;4.0;Cat_6;1.0;4.0
459576;F;Yes;88;No;Lawyer;;Low;;;2.552586938083121;2.0
459579;F;Yes;35;Yes;Artist;3.0;Average;5.0;Cat_4;3.0;5.0
459581;F;No;35;No;Unknown;;Low;;Cat_7;2.552586938083121;2.0
459582;M;Yes;31;No;Entertainment;;Average;3.0;Cat_6;2.552586938083121;3.0
459583;M;Yes;46;Yes;Artist;0.0;Low;1.0;Cat_6;0.0;1.0
459585;F;Yes;50;Yes;Artist;1.0;Average;4.0;Cat_6;1.0;4.0
459587;F;No;33;Yes;Artist;7.0;Low;3.0;Cat_6;7.0;3.0
459588;M;Yes;49;Yes;Artist;0.0;Low;1.0;Cat_6;0.0;1.0
459591;M;Yes;52;Yes;Artist;1.0;Average;3.0;Cat_6;1.0;3.0
459592;M;No;25;No;Healthcare;0.0;Low;3.0;Cat_6;0.0;3.0
459594;F;Yes;41;Yes;Artist;6.0;Low;1.0;Cat_6;6.0;1.0
459597;F;Yes;68;Yes;Artist;0.0;High;2.0;Cat_6;0.0;2.0
459603;F;Yes;79;No;Lawyer;2.0;High;2.0;Cat_6;2.0;2.0
459607;M;Yes;40;Yes;Entertainment;5.0;Average;5.0;Cat_6;5.0;5.0
459608;F;No;62;Yes;Doctor;;Low;1.0;Cat_6;2.552586938083121;1.0
459612;M;No;21;No;Healthcare;;Low;2.0;Cat_6;2.552586938083121;2.0
459616;F;No;20;No;Healthcare;;Low;4.0;Cat_1;2.552586938083121;4.0
459617;M;No;28;Yes;Entertainment;1.0;Low;5.0;Cat_6;1.0;5.0
459618;M;Yes;57;Yes;Doctor;0.0;Average;2.0;Cat_4;0.0;2.0
459621;F;No;25;No;Healthcare;8.0;Low;;;8.0;2.0
459625;F;Yes;63;No;Engineer;8.0;Low;1.0;Cat_6;8.0;1.0
459626;F;Yes;26;No;Entertainment;1.0;Low;3.0;Cat_6;1.0;3.0
459632;F;Yes;50;No;Marketing;0.0;High;3.0;Cat_4;0.0;3.0
459644;F;No;30;No;Marketing;9.0;Low;4.0;Cat_2;9.0;4.0
459652;F;No;26;No;Engineer;;Low;4.0;Cat_4;2.552586938083121;4.0
459658;M;Yes;61;Yes;Artist;1.0;Average;3.0;Cat_6;1.0;3.0
459664;M;No;42;Yes;Artist;3.0;Low;1.0;Cat_6;3.0;1.0
459665;M;Yes;88;Yes;Artist;4.0;Low;2.0;Cat_6;4.0;2.0
459672;M;Yes;45;No;Artist;3.0;Average;3.0;Cat_6;3.0;3.0
459673;F;Yes;86;Yes;Lawyer;1.0;Low;1.0;Cat_6;1.0;1.0
459678;M;No;18;No;Healthcare;1.0;Low;5.0;Cat_6;1.0;5.0
459680;M;No;37;Yes;Entertainment;;Low;1.0;Cat_6;2.552586938083121;1.0
459686;M;Yes;46;Yes;Artist;1.0;Low;1.0;Cat_6;1.0;1.0
459691;M;Yes;58;No;Artist;;Average;2.0;Cat_6;2.552586938083121;2.0
459692;F;Yes;72;Yes;Lawyer;8.0;High;2.0;Cat_6;8.0;2.0
459693;F;Yes;50;Yes;Artist;0.0;High;3.0;;0.0;3.0
459699;F;;56;Yes;Engineer;8.0;Average;3.0;Cat_6;8.0;3.0
459701;M;No;46;No;Artist;3.0;Low;3.0;Cat_5;3.0;3.0
459710;M;Yes;57;Yes;Artist;;Low;1.0;Cat_6;2.552586938083121;1.0
459711;M;Yes;42;No;Executive;9.0;High;6.0;Cat_6;9.0;6.0
459712;M;No;20;No;Healthcare;;Low;4.0;Cat_6;2.552586938083121;4.0
459713;M;No;19;No;Healthcare;;Low;3.0;Cat_6;2.552586938083121;3.0
459715;M;No;19;No;Healthcare;4.0;Low;4.0;Cat_6;4.0;4.0
459718;M;Yes;68;Yes;Executive;1.0;Low;1.0;Cat_6;1.0;1.0
459725;F;Yes;40;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459727;M;Yes;82;No;Lawyer;;High;2.0;Cat_6;2.552586938083121;2.0
459740;F;No;23;No;Healthcare;1.0;Low;3.0;Cat_6;1.0;3.0
459742;F;Yes;84;No;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459745;M;Yes;51;No;Artist;0.0;Low;4.0;Cat_1;0.0;4.0
459746;M;;59;Yes;Artist;1.0;Average;2.0;Cat_6;1.0;2.0
459747;F;Yes;41;Yes;Artist;1.0;Average;5.0;Cat_6;1.0;5.0
459748;M;Yes;51;No;Executive;1.0;High;2.0;Cat_6;1.0;2.0
459755;F;Yes;62;No;Artist;;Average;3.0;Cat_6;2.552586938083121;3.0
459756;F;Yes;62;No;Lawyer;1.0;High;4.0;Cat_4;1.0;4.0
459760;F;Yes;38;Yes;Artist;8.0;Low;1.0;Cat_6;8.0;1.0
459763;M;No;18;No;Artist;;Low;4.0;Cat_4;2.552586938083121;4.0
459767;M;No;22;No;Healthcare;3.0;Low;4.0;Cat_6;3.0;4.0
459771;F;;30;Yes;Doctor;0.0;Low;3.0;Cat_3;0.0;3.0
459779;F;Yes;62;Yes;Entertainment;1.0;Low;1.0;Cat_6;1.0;1.0
459780;F;No;43;No;Entertainment;1.0;Low;3.0;Cat_6;1.0;3.0
459785;F;No;32;Yes;Engineer;;Low;1.0;Cat_3;2.552586938083121;1.0
459793;M;Yes;37;Yes;Artist;1.0;High;;Cat_6;1.0;2.0
459795;M;No;48;Yes;Artist;1.0;Low;1.0;Cat_6;1.0;1.0
459801;F;No;31;Yes;Engineer;4.0;Low;2.0;Cat_6;4.0;2.0
459804;M;Yes;46;No;Artist;4.0;High;4.0;Cat_6;4.0;4.0
459806;F;Yes;49;No;Engineer;1.0;Average;4.0;Cat_6;1.0;4.0
459808;M;Yes;43;No;Doctor;;Average;4.0;Cat_6;2.552586938083121;4.0
459815;M;No;42;Yes;Artist;8.0;Low;1.0;Cat_6;8.0;1.0
459816;M;Yes;37;Yes;Doctor;;Low;2.0;Cat_6;2.552586938083121;2.0
459819;M;Yes;72;Yes;Entertainment;;High;2.0;Cat_6;2.552586938083121;2.0
459821;M;;71;No;Executive;;High;1.0;;2.552586938083121;1.0
459822;F;No;39;Yes;Engineer;1.0;Low;1.0;Cat_4;1.0;1.0
459825;M;No;20;No;Healthcare;0.0;Low;5.0;Cat_2;0.0;5.0
459827;F;No;26;No;Unknown;;Low;1.0;Cat_7;2.552586938083121;1.0
459832;M;Yes;72;Yes;Executive;1.0;Low;1.0;Cat_6;1.0;1.0
459845;M;Yes;70;Yes;Healthcare;0.0;Low;1.0;Cat_4;0.0;1.0
459851;M;No;45;Yes;Artist;2.0;Low;1.0;Cat_6;2.0;1.0
459853;M;No;33;No;Executive;7.0;Low;5.0;Cat_6;7.0;5.0
459856;M;Yes;50;No;Entertainment;0.0;Average;3.0;Cat_6;0.0;3.0
459857;M;No;31;Yes;Entertainment;6.0;Low;1.0;Cat_6;6.0;1.0
459861;F;Yes;74;No;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459864;F;Yes;68;No;Artist;;High;2.0;Cat_6;2.552586938083121;2.0
459866;F;No;49;Yes;Artist;;Low;1.0;Cat_6;2.552586938083121;1.0
459867;M;Yes;49;Yes;Marketing;0.0;High;2.0;Cat_6;0.0;2.0
459869;F;No;18;No;Healthcare;1.0;Low;3.0;Cat_6;1.0;3.0
459871;F;Yes;85;No;Entertainment;2.0;Average;2.0;Cat_6;2.0;2.0
459885;F;No;38;Yes;Entertainment;;Low;4.0;Cat_6;2.552586938083121;4.0
459886;M;Yes;28;No;Artist;0.0;Low;4.0;Cat_6;0.0;4.0
459887;M;Yes;46;No;Artist;3.0;Average;2.0;;3.0;2.0
459889;M;Yes;59;Yes;Homemaker;9.0;Average;3.0;Cat_6;9.0;3.0
459897;F;Yes;56;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459909;M;Yes;69;Yes;Artist;0.0;Low;1.0;Cat_6;0.0;1.0
459910;M;Yes;66;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459911;M;No;18;No;Healthcare;4.0;Low;6.0;Cat_2;4.0;6.0
459914;M;No;36;Yes;Artist;4.0;Low;1.0;Cat_4;4.0;1.0
459923;M;No;31;Yes;Marketing;1.0;Low;2.0;Cat_3;1.0;2.0
459925;M;Yes;67;No;Executive;1.0;High;2.0;Cat_4;1.0;2.0
459937;F;No;39;Yes;Artist;7.0;Low;1.0;Cat_6;7.0;1.0
459943;M;No;42;Yes;Entertainment;4.0;Low;3.0;Cat_6;4.0;3.0
459945;M;Yes;50;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459946;F;Yes;37;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459949;F;No;59;Yes;Artist;0.0;Low;1.0;Cat_6;0.0;1.0
459953;M;Yes;50;Yes;Artist;8.0;Low;2.0;Cat_6;8.0;2.0
459961;M;Yes;48;Yes;Artist;8.0;Low;3.0;Cat_2;8.0;3.0
459962;M;Yes;55;Yes;Artist;9.0;Low;1.0;Cat_6;9.0;1.0
459966;F;No;33;Yes;Doctor;1.0;Low;3.0;Cat_6;1.0;3.0
459968;M;No;38;Yes;Artist;13.0;Low;1.0;Cat_7;13.0;1.0
459970;M;No;43;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459973;F;No;53;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459974;M;No;37;Yes;Entertainment;0.0;Low;1.0;Cat_6;0.0;1.0
459975;F;No;36;Yes;Artist;5.0;Low;1.0;Cat_6;5.0;1.0
459981;M;No;36;Yes;Artist;5.0;Low;1.0;Cat_6;5.0;1.0
459986;M;Yes;62;Yes;Artist;1.0;Low;1.0;Cat_6;1.0;1.0
459995;F;No;38;No;Artist;2.0;Low;2.0;Cat_6;2.0;2.0
459996;M;No;55;Yes;Entertainment;1.0;Low;1.0;Cat_6;1.0;1.0
459998;M;Yes;60;No;Entertainment;1.0;Average;2.0;Cat_6;1.0;2.0
460004;F;Yes;36;Yes;Entertainment;7.0;Average;2.0;Cat_5;7.0;2.0
460006;M;No;30;No;Entertainment;5.0;Low;9.0;Cat_3;5.0;9.0
460014;F;No;66;No;Entertainment;4.0;Low;3.0;Cat_6;4.0;3.0
460023;M;Yes;45;Yes;Entertainment;1.0;Low;1.0;Cat_6;1.0;1.0
460027;F;No;40;Yes;Entertainment;6.0;Low;;Cat_6;6.0;2.0
460033;F;;45;Yes;Entertainment;5.0;Low;3.0;Cat_6;5.0;3.0
460036;M;Yes;41;Yes;Unknown;2.0;Low;1.0;Cat_6;2.0;1.0
460040;F;Yes;62;Yes;Homemaker;4.0;Low;1.0;Cat_5;4.0;1.0
460045;M;Yes;61;Yes;Artist;1.0;Low;2.0;Cat_6;1.0;2.0
460046;F;Yes;50;Yes;Artist;4.0;Low;2.0;Cat_6;4.0;2.0
460050;M;Yes;53;Yes;Entertainment;3.0;Low;2.0;Cat_6;3.0;2.0
460051;M;No;39;Yes;Artist;7.0;Low;1.0;Cat_6;7.0;1.0
460052;F;No;86;Yes;Lawyer;0.0;Low;1.0;Cat_3;0.0;1.0
